id,label,definition,synonyms,xrefs
DOID:0040013,,A drug allergy that has_allergic_trigger ranitidine.,"{'val': 'Zantac allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:293653009, UMLS_CUI:C0570577"
DOID:0040014,,A drug allergy that has_allergic_trigger corticosteroid.,,
DOID:0040015,,A drug allergy that has_allergic_trigger sulfonamide.,,"SNOMEDCT_US_2023_03_01:91939003, UMLS_CUI:C0038757"
DOID:0040016,,A drug allergy that has_allergic_trigger sulfamethoxazole.,"{'val': 'SMX allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'SMZ allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'sulphamethoxazole allergy', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040017,,A drug allergy that has_allergic_trigger suprofen.,"{'val': 'Profenal allergy', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040018,,A drug allergy that has_allergic_trigger thiopental.,"{'val': 'penthiobarbital allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'pentothiobarbital allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:293709008, UMLS_CUI:C0570633"
DOID:0040019,,A drug allergy that has_allergic_trigger D-mannitol.,"{'val': 'mannitol allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:295019008, UMLS_CUI:C0571922"
DOID:0040020,,A cephalosporin allergy that has_allergic_trigger cefotaxime.,,"SNOMEDCT_US_2023_03_01:294545004, UMLS_CUI:C0571457"
DOID:0040021,,A drug allergy that has_allergic_trigger cephalosporin.,,"SNOMEDCT_US_2023_03_01:294532003, UMLS_CUI:C0571444"
DOID:0040022,,A drug allergy that has_allergic_trigger amodiaquine.,"{'val': 'Camoquin allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'Flavoquine allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294390007, UMLS_CUI:C0571303"
DOID:0040023,,A cephalosporin allergy that has_allergic_trigger cefaclor.,"{'val': 'Ceclor allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'cephaclor allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294541008, UMLS_CUI:C0571453"
DOID:0040024,,A cephalosporin allergy that has_allergic_trigger ceftazidime.,"{'val': 'Fortaz allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'Tazicef allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294546003, UMLS_CUI:C0571458"
DOID:0040025,,A cephalosporin allergy that has_allergic_trigger cefuroxime.,"{'val': 'cephuroxime allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'Zinacef allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294542001, UMLS_CUI:C0571454"
DOID:0040026,,A drug allergy that has_allergic_trigger chlorhexidine.,,"SNOMEDCT_US_2023_03_01:294431008, UMLS_CUI:C0571344"
DOID:0040027,,A drug allergy that has_allergic_trigger cyclophosphamide.,"{'val': 'cytophosphane allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:293748008, UMLS_CUI:C0570670"
DOID:0040028,,A drug allergy that has_allergic_trigger succinylcholine.,"{'val': 'dicholine succinate allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'succinocholine allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'sux allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'suxamethonium allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294224007, UMLS_CUI:C0571140"
DOID:0040029,,A drug allergy that has_allergic_trigger trimethoprim.,"{'val': 'Primsol allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'proloprim allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'TMP allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294477004, UMLS_CUI:C0571390"
DOID:0040030,,A cephalosporin allergy that has_allergic_trigger cefixime.,,"SNOMEDCT_US_2023_03_01:294548002, UMLS_CUI:C0571460"
DOID:0040031,,A drug allergy that has_allergic_trigger diclofenac.,"{'val': 'Voltaren allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:293613006, UMLS_CUI:C0570540"
DOID:0040032,,A drug allergy that has_allergic_trigger carbapenems.,,"SNOMEDCT_US_2023_03_01:294531005, UMLS_CUI:C0571443"
DOID:0040033,,A beta-lactam allergy that has_allergic_trigger piperacillin.,,"SNOMEDCT_US_2023_03_01:294515002, UMLS_CUI:C0571427"
DOID:0040034,,A drug allergy that has_allergic_trigger rocuronium.,"{'val': 'Esmeron allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'Zemuron allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294233009, UMLS_CUI:C0571149"
DOID:0040035,,A drug allergy that has_allergic_trigger sulfasalazine.,,"SNOMEDCT_US_2023_03_01:293663001, UMLS_CUI:C0570587"
DOID:0040036,,A drug allergy that has_allergic_trigger tubocurarine.,"{'val': 'DTC allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294231006, UMLS_CUI:C0571147"
DOID:0040037,,A beta-lactam allergy that has_allergic_trigger aztreonam.,"{'val': 'Azactam allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'Primbactam allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294565006, UMLS_CUI:C0571476"
DOID:0040038,,"An allergic asthma that has_allergic_trigger meropenem, a beta-lactam antibiotic.","{'val': 'Merrem allergy', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040040,,An isocyanates allergic asthma that has_allergic_trigger hexamethylene diisocyanate.,"{'val': 'allergic asthma to HDI', 'pred': 'EXACT', 'xrefs': []}, {'val': 'allergic asthma to HMDI', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040041,,An allergic asthma that has_allergic_trigger isocyanates.,,
DOID:0040042,,"An isocyanates allergic asthma that has_allergic_trigger diphenylmethane-4,4-diisocyanate.","{'val': 'allergic asthma to MDI', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040043,,An isocyanates allergic asthma that has_allergic_trigger toluene meta-diisocyanate.,"{'val': 'allergic asthma to TDI', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040044,,An isocyanates allergic asthma that has_allergic_trigger methyl isocyanate.,"{'val': 'allergic asthma to MIC', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040045,,An allergic asthma that has_allergic_trigger nickel atom.,"{'val': 'allergic asthma to Ni', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040046,,An allergic contact dermatitis that has_allergic_trigger nickel atom.,"{'val': 'allergic contact dermatitis to Ni', 'pred': 'EXACT', 'xrefs': []}",ICD10CM:L23.0
DOID:0040047,,An allergic asthma that has_allergic_trigger trimellitic anhydride.,"{'val': 'allergic asthma to TMA', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040048,,An allergic asthma that has_allergic_trigger phthalic anhydride.,,
DOID:0040049,,An allergic asthma that has_allergic_trigger maleic anhydride.,"{'val': 'allergic asthma to MA', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040050,,An allergic asthma that has_allergic_trigger tetrachlorophthalic anhydride.,,
DOID:0040051,,An allergic asthma that has_allergic_trigger hexahydrophthalic anhydride.,"{'val': 'allergic asthma to HHPA', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040052,,"An allergic contact dermatitis that has_allergic_trigger diphenylmethane-4,4-diisocyanate.","{'val': 'allergic contact dermatitis to MDI', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040053,,An allergic contact dermatitis that has_allergic_trigger cobalt atom.,"{'val': 'allergic contact dermatitis to Co', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040054,,An allergic asthma that has_allergic_trigger cobalt atom.,"{'val': 'Co allergic asthma', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040055,,An allergic contact dermatitis that has_allergic_trigger palladium.,"{'val': 'allergic contact dermatitis to Pd', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040056,,An allergic contact dermatitis that has_allergic_trigger chromium atom.,,ICD10CM:L23.0
DOID:0040057,,An allergic contact dermatitis that has_allergic_trigger benzoic acid.,"{'val': 'allergic contact dermatitis to benzoate', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294186000, UMLS_CUI:C0571102"
DOID:0040058,,"An allergic contact dermatitis that has_allergic_trigger 1,4-phenylenediamine.","{'val': 'allergic contact dermatitis to p-phenylenediamine', 'pred': 'EXACT', 'xrefs': []}, {'val': 'allergic contact dermatitis to PPD', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040059,,An allergic contact dermatitis that has_allergic_trigger potassium dichromate.,,
DOID:0040060,,A photoallergic dermatitis that has_allergic_trigger ketoprofen.,"{'val': 'photoallergic dermatitis to Orudis', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:293621000, UMLS_CUI:C0570547"
DOID:0040061,,A respiratory allergy that has_allergic_trigger remazole black-GR.,"{'val': 'respiratory allergy to Reactive Black 5', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040062,,A respiratory allergy that has_allergic_trigger chloramine T.,"{'val': 'respiratory allergy to Chloraseptin', 'pred': 'EXACT', 'xrefs': []}, {'val': 'respiratory allergy to Chlorazol', 'pred': 'EXACT', 'xrefs': []}, {'val': 'respiratory allergy to Trichlorol', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040063,,A respiratory allergy that has_allergic_trigger 4-vinylcyclohexene dioxide.,"{'val': 'respiratory allergy to vinyl cyclohexene diepoxide', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040064,,An allergic contact dermatitis that has_allergic_trigger (-)-carvone.,"{'val': 'allergic contact dermatitis to levo-carvone', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040065,,A drug allergy that has_allergic_trigger quinidine.,"{'val': 'Kinidin allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294978001, UMLS_CUI:C0571881"
DOID:0040066,,A drug allergy that has_allergic_trigger melphalan.,"{'val': 'Alkeran allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:293751001, UMLS_CUI:C0570673"
DOID:0040067,,An allergic contact dermatitis that has_allergic_trigger neomycin sulfate.,"{'val': 'allergic contact dermatitis to neomycin sulphate', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:409640001, UMLS_CUI:C1443961"
DOID:0040068,,An allergic contact dermatitis that has_allergic_trigger 4-tert-butylphenol.,"{'val': 'allergic contact dermatitis to butylphen', 'pred': 'EXACT', 'xrefs': []}, {'val': 'allergic contact dermatitis to PTBP', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040069,,"An allergic contact dermatitis that has_allergic_trigger 1-chloro-2,4-dinitrobenzene.","{'val': 'allergic contact dermatitis to dinitrochlorobenzene', 'pred': 'EXACT', 'xrefs': []}, {'val': 'allergic contact dermatitis to DNCB', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040070,,A drug allergy that has_allergic_trigger co-trimoxazole.,"{'val': 'Bactrim allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'cotrimoxazol allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'TMP/SMX allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'trimethoprim/sulfamethoxazole allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294594004, UMLS_CUI:C0571504"
DOID:0040071,,A drug allergy that has_allergic_trigger sodium aurothiomalate.,"{'val': 'gold sodium thiomalate allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294239008, UMLS_CUI:C0571155"
DOID:0040072,,An allergic contact dermatitis that has_allergic_trigger parthenolide.,"{'val': 'allergic contact dermatitis to feverfew', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040073,,A drug allergy that has_allergic_trigger disodium cromoglycate.,"{'val': 'DSCG allergy', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040074,,An allergic contact dermatitis that has_allergic_trigger formaldehyde.,"{'val': 'allergic contact dermatitis to formalin', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294426006, UMLS_CUI:C0571339"
DOID:0040075,,An allergic contact dermatitis that has_allergic_trigger benzo[d]isothiazol-3-one.,"{'val': 'allergic contact dermatitis to benzisothiazolone', 'pred': 'EXACT', 'xrefs': []}, {'val': 'allergic contact dermatitis to BIT', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040076,,A drug allergy that has_allergic_trigger phthalyl group.,"{'val': 'phthalyl allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294571000, UMLS_CUI:C0571482"
DOID:0040077,,A drug allergy that has_allergic_trigger alcuronium bromide.,,
DOID:0040078,,A drug allergy that has_allergic_trigger gallamine.,,"SNOMEDCT_US_2023_03_01:294229002, UMLS_CUI:C0571145"
DOID:0040079,,"An allergic contact dermatitis that has_allergic_trigger 2,4-dinitrophenyl group.","{'val': 'allergic contact dermatitis to DNP', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040080,,A drug allergy that has_allergic_trigger patent blue V.,,
DOID:0040081,,A respiratory allergy that has_allergic_trigger acid anhydride.,,
DOID:0040082,,A drug allergy that has_allergic_trigger oxirane.,"{'val': 'ethylene oxide allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'ETO allergy', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040083,,A bacterial pneumonia has_material_basis_in Chlamydia pneumoniae.,,"ICD10CM:J16.0, ICD9CM:483.1"
DOID:0040084,,A bacterial pneumonia has_material_basis_in Streptococcus pneumoniae.,,"ICD10CM:J13, ICD9CM:481"
DOID:0040085,,A bacterial infectious disease has_material_basis_in Bacteria.,,"ICD9CM:995.91, SNOMEDCT_US_2021_09_01:10001005"
DOID:0040086,,A viral infectious disease has_material_basis_in BK polyomavirus (Betapolyomavirus hominis).,"{'val': 'polyomavirus associated nephropathy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'PVAN', 'pred': 'EXACT', 'synonym_type': 'OMO:0003012', 'xrefs': []}","SNOMEDCT_US_2023_03_01:713886006, UMLS_CUI:C1697878"
DOID:0040087,,An autoimmune disease of peripheral nervous system that results in peripheral neuropathy.,,
DOID:0040088,,"An autoimmune disease of eyes, ear, nose and throat that is located_in the uvea.",,
DOID:0040089,,An autoimmune disease of peripheral nervous system that is located_in the neuron projection bundle connecting eye with brain.,,
DOID:0040090,,An autoimmune disease of gastrointestinal tract that is located_in the stomach.,,
DOID:0040091,,An autoimmune disease of endocrine system that is located_in the pancreas.,,"MESH:D000081012, SNOMEDCT_US_2023_03_01:448542008, UMLS_CUI:C2609129"
DOID:0040092,,An ankylosing spondylitis with onset during childhood.,,"ICD10CM:M08.1, SNOMEDCT_US_2023_03_01:201802002, UMLS_CUI:C0409675"
DOID:0040093,,A lupus erythematosus caused by chronic use of certain drugs.,"{'val': 'DIL', 'pred': 'EXACT', 'synonym_type': 'OMO:0003012', 'xrefs': []}, {'val': 'DILE', 'pred': 'EXACT', 'synonym_type': 'OMO:0003012', 'xrefs': []}","ICD10CM:M32.0, NCI:C114354, ORDO:231111, SNOMEDCT_US_2023_03_01:80258006, UMLS_CUI:C0263591"
DOID:0040094,,An autoimmune disease of urogenital tract that is located_in the renal glomerulus.,,
DOID:0040095,,An autoimmune disease of cardiovascular system that is characterized by deterioration of the function of the heart muscle.,,
DOID:0040096,,An autoimmune disease of cardiovascular system that is characterized by a build up of plaque in the arteries.,,
DOID:0040097,,An autoimmune disease of cardiovascular system that is characterized by inflammation of the blood vessels.,,"SNOMEDCT_US_2023_03_01:427213005, UMLS_CUI:C1328843"
DOID:0040098,,A pemphigus that is characterized by blistered skin as a result of self-reactive T and B cells that target BP180.,,ICD10CM:O26.4
DOID:0040099,,A vasculitis with purpuric ulcers.,"{'val': 'livedoid vasculopathy', 'pred': 'EXACT', 'xrefs': []}","ICD10CM:L95.0, ICD9CM:709.1"
DOID:0040100,,An autoimmune disease of endocrine system characterized by hypoglycemia caused by antibodies to insulin.,"{'val': 'insulin autoimmune syndrome', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:408539000, UMLS_CUI:C0854359"
DOID:0040101,,"An allergic contact dermatitis that has_allergic_trigger N,N-diphenylthiourea.","{'val': 'neoprene allergy', 'pred': 'RELATED', 'xrefs': []}",
DOID:0040102,,"An allergic contact dermatitis that has_allergic_trigger N,N-diethylthiourea.","{'val': 'neoprene allergy', 'pred': 'RELATED', 'xrefs': []}",
DOID:0040103,,A cephalosporin allergy that has_allergic_trigger cefotiam.,,
DOID:0040104,,"A toluene meta-diisocyanate allergic asthma that has_allergic_trigger toluene 2,4-diisocyanate.",,
DOID:0050004,,"A gonococcal seminal vesiculitis that is characterized by back pain, perineal pain, pain with ejaculation, hematospermia and voiding symptoms resulting from inflammation located_in the seminal vesicles caused by Neisseria gonorrhoeae infection.",,"SNOMEDCT_US_2023_03_01:301990003, UMLS_CUI:C0578661"
DOID:0050012,,"A viral infectious disease that results_in infection located_in joint, has_material_basis_in Chikungunya virus (Alphavirus chikungunya), which is transmitted_by Aedes mosquito bite. The infection has_symptom fever, has_symptom arthralgia, and has_symptom maculopapular rash.","{'val': 'Chikungunya fever', 'pred': 'EXACT', 'xrefs': []}",GARD:6038
DOID:0050025,,"An ehrlichiosis that results in infection located in granular leukocyte, has_material_basis_in Anaplasma phagocytophilum, which is transmitted by lone star tick (Amblyomma americanum). The infection has symptom headache, has symptom muscle aches, has symptom fatigue, has symptom fever and has symptom rash.","{'val': 'HGE', 'pred': 'RELATED', 'synonym_type': 'OMO:0003012', 'xrefs': []}, {'val': 'human granulocytic ehrlichiosis', 'pred': 'EXACT', 'xrefs': []}",
DOID:0050026,,"An ehrlichiosis that results in infection located in monocyte or located in macrophage, has_material_basis_in Ehrlichia chaffeensis, which is transmitted by black-legged tick (Ixodes scapularis), transmitted by western black-legged tick (Ixodes pacificus) or transmitted by castor bean tick (Ixodes ricinus). The infection has symptom headache, has symptom muscle aches, has symptom fatigue, has symptom fever and has symptom rash.","{'val': 'Ehrlichiosis chafeensis', 'pred': 'RELATED', 'xrefs': []}",GARD:72
DOID:0050032,,An acquired metabolic disease that is characterized by abnormal mineral metabolism.,,
DOID:0050035,,"A spotted fever that has_material_basis_in Rickettsia africae, which is transmitted_by ticks (Amblyomma hebraeum and Amblyomma variegatum). The infection has_symptom fever, has_symptom eschar and has_symptom maculopapular rash.","{'val': 'Rickettsia africae spotted fever', 'pred': 'EXACT', 'xrefs': []}, {'val': 'south african tick-bite fever', 'pred': 'EXACT', 'xrefs': []}",
DOID:0050041,,"A spotted fever that has_material_basis_in Rickettsia conorii subsp caspia, which is transmitted_by ticks (Rhipicephalus pumilio and Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar (usually single), has_symptom regional adenopathy, has_symptom maculopapular rash on extremities.",,
DOID:0050042,,"A spotted fever that has_material_basis_in Rickettsia conorii subsp indica, which is transmitted_by ticks (Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar, has_symptom regional adenopathy, and has_symptom maculopapular rash on extremities.",,
DOID:0050043,,"A spotted fever that has_material_basis_in Rickettsia conorii subsp israelensis, which is transmitted_by ticks (Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar, has_symptom regional adenopathy, and has_symptom maculopapular rash on extremities.","{'val': 'Israeli spotted fever', 'pred': 'RELATED', 'xrefs': []}",
DOID:0050046,,"A spotted fever that has_material_basis_in Rickettsia heilongjiangensis, which is transmitted_by ticks (Haemaphysalis concinna). The infection has_symptom fever, has_symptom eschar, has_symptom maculopapular rash, and has_symptom regional adenopathy.","{'val': 'Rickettsia heilongjiangensis spotted fever', 'pred': 'EXACT', 'xrefs': []}",
DOID:0050047,,"A spotted fever that has_material_basis_in Rickettsia honei, which is transmitted_by cayenne ticks (Amblyomma cajennense). The infection has_symptom mild spotted fever, has_symptom eschar and has_symptom adenopathy.","{'val': 'FISF', 'pred': 'RELATED', 'synonym_type': 'OMO:0003012', 'xrefs': []}, {'val': 'Thai tick typhus', 'pred': 'EXACT', 'xrefs': []}",
DOID:0050050,,"A spotted fever that has_material_basis_in Rickettsia japonica, which is transmitted_by ticks (Dermacentor taiwanensis and Haemaphysalis flava). The infection has_symptom fever, has_symptom eschars, has_symptom regional adenopathy, and has_symptom rash on extremities.","{'val': 'oriental spotted fever', 'pred': 'EXACT', 'xrefs': []}, {'val': 'Rickettsia japonica spotted fever', 'pred': 'EXACT', 'xrefs': []}",
DOID:0050051,,"A spotted fever that has_material_basis_in Rickettsia parkeri, which is transmitted_by Gulf Coast tick (Amblyomma maculatum). The infection has_symptom fever, has_symptom headache, has_symptom eschar, and has_symptom rash.","{'val': 'maculatum infection', 'pred': 'EXACT', 'xrefs': []}",
DOID:0050052,,"A spotted fever that has_material_basis_in Rickettsia rickettsii, which is transmitted_by ticks (Dermacentor variabilis and Dermacentor andersoni). The infection has_symptom fever, has_symptom headache, has_symptom abdominal pain, and has_symptom maculopapular rash progressing into papular or petechial rash.","{'val': 'Brazilian spotted', 'pred': 'RELATED', 'xrefs': []}, {'val': 'Choix', 'pred': 'RELATED', 'xrefs': []}, {'val': 'Exanthematic typhus of Sao Paulo', 'pred': 'RELATED', 'xrefs': []}, {'val': 'Fiebre maculosa', 'pred': 'RELATED', 'xrefs': []}, {'val': 'Fiebre manchada', 'pred': 'RELATED', 'xrefs': []}, {'val': 'Sao Paulo typhus', 'pred': 'RELATED', 'xrefs': []}, {'val': 'So Paulo fever', 'pred': 'RELATED', 'xrefs': []}, {'val': 'Tick typhus', 'pred': 'EXACT', 'xrefs': []}, {'val': 'Tobia fever', 'pred': 'RELATED', 'xrefs': []}","GARD:7585, MESH:D012373"
DOID:0050059,,"A gastrointestinal anthrax that results in infection located in mucosa of oropharynx, has_material_basis_in Bacillus anthracis, which is transmitted by ingestion of anthrax-infected meat. The infection has symptom lesions, has symptom vomiting of blood, has symptom severe diarrhea, has symptom loss of appetite.",,
DOID:0050061,,"A primary bacterial infectious disease that results_in infection located_in skin, has_material_basis_in Erysipelothrix rhusiopathiae, which is transmitted_by contact with infected animals. The infection has_symptom redness of skin, has_symptom tenderness of skin and has_symptom warmth of skin.",,MESH:D004887
DOID:0050072,,"A primary systemic mycosis that is a fungal infection located_in lungs, or located_in skin, which results_in disseminated granulomatous pulmonary process and cutaneous infection in rodents, small wild mammals and humans, has_material_basis_in Chrysosporium parvum or Emmonsia crescens.",,MESH:C000656784
DOID:0050073,,"An aspergillosis that is a serious fungal infection of the lung with pneumonia caused by Aspergillus, which spreads to other parts of the body through bloodstream in patients with acute leukemia and recipients of tissue transplants. Clinical symptoms include pulmonary nodules and hemorrhage.",,
DOID:0050083,,A nutritional deficiency that is disease characterized by a cardiomyopathy secondary to selenium deficiency.,,"GARD:8761, MESH:C536166"
DOID:0050096,,"A dermatophytosis that results_in fungal infection which effects horny layer of epidermis of the bearded areas located_in face or located_in neck, has_material_basis_in Trichophyton mentagrophytes or has_material_basis_in Trichophyton verrucosum, which also effects hair, and effects nail and has_symptom inflammatory kerion-like plaques, and results_in_formation_of noninflammatory superficial perifollicular pustules.","{'val': 'dermatophytosis of beard', 'pred': 'EXACT', 'xrefs': []}",MESH:C000656825
DOID:0050097,,"A tinea capitis that results_in fungal infection located_in cuticle of hair, has_material_basis_in Microsporum canis, has_material_basis_in Microsporum gypseum, has_material_basis_in Trichophyton equinum, and has_material_basis_in Trichophyton verrucosum, which produce arthroconidia on the exterior of the hair shaft.",,
